Period,Demo Stock Price,Stock Path # 1,Stock Path # 2,Stock Path # 3,Stock Path # 4
0,50.0000000000000,50.0000000000000,50.0000000000000,50.0000000000000,50.0000000000000
1,49.5072261637841,49.6724657152450,49.1772033837312,48.6699095547360,47.6406283136976
2,48.0058206258224,49.6256144731724,49.8180761064044,46.1693369564907,49.4496564779676
3,47.7654546520041,49.7438930321617,51.1790547582792,47.4810153695251,49.3727053976619
4,47.9461619376989,50.2156415219809,50.3327666800376,49.0342951822175,49.9475892152001
5,48.6752649624517,48.3569719957211,52.6192556333885,48.2632738880452,47.8194751230930
6,48.8790956102588,48.7416144076553,54.6852722838264,47.8947608996663,44.8837286713258
7,49.2794334917690,50.0755333247112,56.0083405909201,52.3099466291488,47.0580175403998
8,50.1904542461050,49.6342121484962,56.0693249803168,53.2554084251712,45.9550427708033
9,49.9612415764206,48.3920420863068,56.5254480271181,53.1828124226916,47.5557698014410
10,50.8434173607322,48.1936602913793,56.3880903336891,55.0047629958071,47.3294597797194
11,51.4727694426341,48.9543162660965,55.1873820194004,54.1797056116602,46.0275175978762
12,52.0210590652382,48.5721776525900,55.6113568797866,52.2222472061791,45.2627794625694
13,52.6979664366469,48.3375077563412,55.9430785373743,54.6790474271232,46.0934920439438
14,51.7284825638452,49.0200455146640,57.2003448828023,54.7025269963686,47.4443926558933
15,52.5525025716459,48.8482173252726,56.7832996287975,56.2446116790835,46.5303345049254
16,50.9252010448949,49.4492210949333,54.8635293996700,56.7976348981740,45.9749939042189
17,50.1889905598614,49.4607680984585,54.8736393906539,55.9753417683587,47.4084002686449
18,51.9690646100218,48.4779456956948,53.0339296817535,59.5801184048100,48.8268341095341
19,52.9809292071861,47.8704015050644,52.6699339138367,58.8604145333464,48.4900752962506
20,52.1116375011664,46.5053925838387,52.5266424148508,57.7696925176681,48.7794256639802
21,51.1204434791930,48.5479534243483,51.9327106382052,56.1747926919466,47.5379361654902
22,50.3433057558120,47.9562089406468,54.0127957494550,57.6582028240517,49.6825336927732
23,51.9013809062844,48.2568485852072,51.5107697024635,60.2257320918576,48.7364989927450
24,51.1830971422327,47.7362481168163,51.9270999235321,57.6784128319824,45.8790683736943
25,50.4694611378349,48.8016110412341,52.2407763063072,60.3680306706116,45.2432823222733
26,51.0732836255571,48.3108251623228,52.3267672995472,61.0009897471172,45.5283725800289
27,51.5302506030354,49.1579097923690,50.2644266009293,63.6722386340983,45.0923990922730
28,52.3483007529206,48.1845029886325,50.8734379713611,65.2247683875055,45.5183289880918
29,53.1277167664766,47.6455964590242,50.3470266375682,64.1713674550478,46.3205456319460
30,52.5603914265600,46.1909070183779,52.6123281679157,64.3559311489559,47.0136100422216
31,53.6043006215788,46.1688250799533,51.9952073103337,66.4751182352958,45.7945803738712
32,54.2602684615456,46.0471383285579,51.6088980257712,64.0811552368515,43.7589106566618
33,55.7218837164921,46.2838903660696,51.0982049181462,65.9262603078666,42.8783520003387
34,54.8196152957645,44.4717159534093,50.6874506180591,65.4740875597129,41.8244732846391
35,54.3853904306014,44.0225865012909,49.9124541444252,65.6951420106204,44.1908145251104
36,54.5333976129748,43.0017328072174,50.1554771531255,62.3460145942091,43.0108565756101
37,54.0999333277462,42.5893820339678,50.7172913500450,58.9182202525059,43.4631921491429
38,53.1532173715271,43.2269274295067,50.0501091100697,60.9536807987219,45.0944143457537
39,53.3716629669040,43.5202653983389,50.2459709400605,65.7312207699966,44.2861745925445
40,53.7419512390837,45.2029030456020,50.4467094375468,61.0626364832150,43.4348275183876
41,52.5149682732822,46.1124447150971,53.0241365298198,61.9070318561791,44.3164751533603
42,50.8136117142520,46.2397062303687,54.7157301815339,65.6776209071174,45.1641687142340
43,51.1782605020416,46.5006150701410,53.9315885716392,62.9721885534622,44.7657528113340
44,52.2562830596313,45.6377052875489,54.9387521027502,62.2890913598583,43.4607484518760
45,52.6513330147638,46.9009599587515,55.7991545551606,62.2166723927060,43.6414888338448
46,52.4337733455375,46.4282447133040,55.5165339136149,65.0672320089570,42.1777186687824
47,51.4482144827733,46.6738510621896,55.9015041368873,62.8706120842478,41.4212115840576
48,51.4294257207496,46.9124514139591,55.8757741101768,64.9524367468883,42.6516752904467
49,53.5708214360899,47.6377287864896,55.8643827834169,65.8259419243060,43.1437067217053
50,54.4078727035160,48.2089989890167,54.5556576986719,64.0369088736287,42.9990518896222
